X,CH1,
Second,Volt,
3.5999997e-03,2.22000e+00,
3.6399995e-03,2.22000e+00,
3.6799998e-03,2.22000e+00,
3.7199997e-03,2.24000e+00,
3.7599995e-03,2.22000e+00,
3.7999998e-03,2.00000e-02,
3.8399997e-03,4.00000e-02,
3.8799995e-03,0.00000e+00,
3.9199996e-03,2.00000e-02,
3.9599994e-03,0.00000e+00,
3.9999997e-03,2.00000e-02,
4.0399996e-03,0.00000e+00,
4.0799994e-03,2.00000e-02,
4.1199997e-03,0.00000e+00,
4.1599995e-03,8.60000e-01,
4.1999994e-03,2.22000e+00,
4.2399997e-03,2.22000e+00,
4.2799995e-03,2.20000e+00,
4.3199994e-03,2.22000e+00,
4.3599997e-03,2.22000e+00,
4.3999995e-03,2.24000e+00,
4.4399993e-03,1.18000e+00,
4.4799997e-03,4.00000e-02,
4.5199995e-03,0.00000e+00,
4.5599993e-03,2.00000e-02,
4.5999996e-03,0.00000e+00,
4.6399995e-03,0.00000e+00,
4.6799993e-03,0.00000e+00,
4.7199996e-03,0.00000e+00,
4.7599995e-03,2.00000e-02,
4.7999998e-03,0.00000e+00,
4.8399996e-03,2.00000e-02,
4.8799994e-03,0.00000e+00,
4.9199997e-03,2.00000e-02,
4.9599996e-03,0.00000e+00,
4.9999999e-03,0.00000e+00,
5.0399997e-03,0.00000e+00,
5.0799996e-03,0.00000e+00,
5.1199999e-03,0.00000e+00,
5.1599997e-03,2.00000e-02,
5.1999995e-03,2.00000e-02,
5.2399999e-03,0.00000e+00,
5.2799997e-03,0.00000e+00,
5.3199995e-03,2.00000e-02,
5.3599998e-03,0.00000e+00,
5.3999997e-03,2.00000e-02,
5.4399995e-03,2.00000e-02,
5.4799998e-03,0.00000e+00,
5.5199997e-03,0.00000e+00,
5.5599995e-03,2.22000e+00,
5.5999998e-03,2.20000e+00,
5.6399996e-03,2.22000e+00,
5.6799999e-03,2.22000e+00,
5.7199998e-03,2.22000e+00,
5.7599996e-03,2.22000e+00,
5.7999999e-03,2.22000e+00,
5.8399998e-03,2.22000e+00,
5.8799996e-03,2.20000e+00,
5.9199999e-03,2.22000e+00,
5.9599997e-03,2.22000e+00,
5.9999996e-03,2.22000e+00,
6.0399999e-03,2.22000e+00,
6.0799997e-03,2.22000e+00,
6.1199996e-03,2.20000e+00,
6.1599999e-03,2.22000e+00,
6.1999997e-03,2.22000e+00,
6.2399996e-03,2.22000e+00,
6.2799999e-03,2.22000e+00,
6.3199997e-03,2.22000e+00,
6.3600000e-03,2.22000e+00,
6.3999998e-03,2.22000e+00,
6.4399997e-03,2.22000e+00,
6.4800000e-03,2.22000e+00,
6.5199998e-03,2.00000e-02,
6.5599997e-03,2.00000e-02,
6.6000000e-03,0.00000e+00,
6.6399998e-03,0.00000e+00,
6.6799996e-03,0.00000e+00,
6.7199999e-03,0.00000e+00,
6.7599998e-03,2.00000e-02,
6.7999996e-03,0.00000e+00,
6.8399999e-03,0.00000e+00,
6.8799998e-03,0.00000e+00,
6.9200001e-03,2.20000e+00,
6.9599999e-03,2.20000e+00,
6.9999998e-03,2.22000e+00,
7.0400001e-03,2.22000e+00,
7.0799999e-03,2.22000e+00,
7.1199997e-03,2.22000e+00,
7.1600000e-03,2.20000e+00,
7.1999999e-03,2.22000e+00,
7.2399997e-03,0.00000e+00,
7.2800000e-03,2.00000e-02,
7.3199999e-03,0.00000e+00,
7.3599997e-03,0.00000e+00,
7.4000000e-03,0.00000e+00,
7.4399998e-03,0.00000e+00,
7.4799997e-03,0.00000e+00,
7.5200000e-03,0.00000e+00,
7.5599998e-03,0.00000e+00,
7.6000001e-03,0.00000e+00,
7.6400000e-03,0.00000e+00,
7.6799998e-03,0.00000e+00,
7.7200001e-03,0.00000e+00,
7.7599999e-03,0.00000e+00,
7.7999998e-03,0.00000e+00,
7.8400001e-03,0.00000e+00,
